id,title,description,format,category,difficulty,content_json,solution,xp_reward,created_at,branch
b368ff59-c435-43e0-af48-70de86bd65f3,Anagram Challenge: Science,Rearrange letters to find scientific terms,word_puzzle,verbal,2,"{""type"": ""anagram"", ""puzzles"": [{""hint"": ""What keeps you grounded"", ""answer"": ""GRAVITY"", ""scrambled"": ""YRAVITG""}, {""hint"": ""Brain cell"", ""answer"": ""NEURON"", ""scrambled"": ""ONREUT""}, {""hint"": ""Tiny particle"", ""answer"": ""MOLECULE"", ""scrambled"": ""TOOMCLE""}]}","GRAVITY, NEURON, MOLECULE",15,2026-02-16 11:32:17.524446+00,iq
953fe69f-a772-46ab-aafc-2606505c57b9,Hidden Words,Find the hidden word in each sentence,word_puzzle,verbal,3,"{""type"": ""hidden_word"", ""puzzles"": [{""hint"": ""An article of clothing"", ""sentence"": ""The hero was brave and bold."", ""hidden_word"": ""ROBE"", ""start_index"": 6}, {""hint"": ""Desert animal"", ""sentence"": ""She came late to the event."", ""hidden_word"": ""CAMEL"", ""start_index"": 4}, {""hint"": ""Earth is one"", ""sentence"": ""Please let me know the plan."", ""hidden_word"": ""PLANET"", ""start_index"": 17}]}","ROBE, CAMEL, PLANET",20,2026-02-16 11:32:17.524446+00,iq
c5267c0e-6f59-4d21-9027-1c0b925929d0,Word Association Chain,Connect words through associations,word_puzzle,verbal,2,"{""hint"": ""Think about temperature or colors"", ""type"": ""association"", ""end_word"": ""ICE"", ""start_word"": ""FIRE"", ""chain_length"": 4, ""possible_chains"": [[""FIRE"", ""HOT"", ""COLD"", ""ICE""], [""FIRE"", ""RED"", ""BLUE"", ""ICE""]]}",FIRE → HOT → COLD → ICE (or FIRE → RED → BLUE → ICE),15,2026-02-16 11:32:17.524446+00,iq
bf918d29-46ac-45f9-8b7a-837b8f182aa9,Digit Span — Forward,Repeat digits in the order shown.,riddle,memory,1,"{""direction"": ""forward"", ""drill_kind"": ""digit_span"", ""max_length"": 9, ""start_length"": 4}",Metric: max length correct.,20,2026-07-26 00:40:21.288244+00,brain_health
3be7ca97-d672-4fae-8d92-705498fc59ac,Compound Words,Find the word that connects two others,word_puzzle,verbal,1,"{""type"": ""compound"", ""puzzles"": [{""hint"": ""A curved shape"", ""word1"": ""RAIN"", ""word2"": ""TIE"", ""answer"": ""BOW""}, {""hint"": ""What you do at a job"", ""word1"": ""FIRE"", ""word2"": ""BENCH"", ""answer"": ""WORK""}, {""hint"": ""What the sun gives"", ""word1"": ""MOON"", ""word2"": ""HOUSE"", ""answer"": ""LIGHT""}]}","BOW (rainbow/bowtie), WORK (firework/workbench), LIGHT (moonlight/lighthouse)",10,2026-02-16 11:32:17.524446+00,iq
3ee9d806-3ecd-4b62-b3f2-7035f7b3885c,Cryptic Definitions,Decode the wordplay clues,word_puzzle,verbal,4,"{""type"": ""cryptic"", ""puzzles"": [{""clue"": ""Flower that tells time (9)"", ""hint"": ""A plant that blooms at a certain hour"", ""answer"": ""FOUR O CLOCK""}, {""clue"": ""A place where you might find a date (8)"", ""hint"": ""Not a romantic outing"", ""answer"": ""CALENDAR""}, {""clue"": ""Running water that never gets tired (6)"", ""hint"": ""Found in nature"", ""answer"": ""STREAM""}]}","FOUR O'CLOCK, CALENDAR, STREAM",25,2026-02-16 11:32:17.524446+00,iq
6245f52f-a560-4e8b-8c57-456a46d8c374,The Barber Paradox,Who shaves the barber?,logic_trap,logic,3,"{""follow_up"": ""This is related to Russell's Paradox in set theory."", ""statement"": ""In a village, the barber shaves everyone who does not shave themselves. Does the barber shave himself?"", ""explanation"": ""This is a paradox. If the barber shaves himself, he shouldn't (he only shaves those who don't shave themselves). If he doesn't, he should. The scenario is logically impossible."", ""wrong_intuition"": ""Yes, he shaves himself because he is the barber""}",It's a paradox—the situation as described is impossible.,20,2026-02-16 11:32:17.524446+00,iq
71a4f6ac-e39b-4aeb-90ee-2b6031482ac4,The Monty Hall Problem,Should you switch doors?,logic_trap,logic,4,"{""follow_up"": ""This is counterintuitive but mathematically proven."", ""statement"": ""You pick door 1 of 3 doors. Behind one is a car; the others have goats. The host (who knows what's behind each door) opens door 3, revealing a goat. Should you switch to door 2?"", ""explanation"": ""You should ALWAYS switch. Your initial pick has a 1/3 chance. The other door now has a 2/3 chance because the host's reveal was not random."", ""wrong_intuition"": ""It doesn't matter—it's 50/50""}",Always switch. Switching gives you a 2/3 chance of winning vs 1/3 by staying.,25,2026-02-16 11:32:17.524446+00,iq
46c7d613-c58f-4caa-9e75-3601f935c9e9,The Birthday Problem,More likely than you think,logic_trap,pattern,3,"{""follow_up"": ""With 70 people, the probability exceeds 99.9%."", ""statement"": ""How many people do you need in a room for there to be a greater than 50% chance that two share a birthday?"", ""explanation"": ""You only need 23 people! The key insight is you're comparing all PAIRS, not individuals to a specific date. With 23 people, there are 253 pairs to compare."", ""wrong_intuition"": ""About 183 (half of 365)""}",23 people. The large number of possible pairs makes collisions likely much sooner than intuition suggests.,20,2026-02-16 11:32:17.524446+00,iq
b22f6d29-c1db-42f9-8d68-7a92f4bdeab3,The Boy or Girl Paradox,Conditional probability tricks,logic_trap,logic,4,"{""follow_up"": ""If instead you learn 'the OLDER child is a boy,' then the answer IS 1/2."", ""statement"": ""A family has two children. You learn that at least one is a boy. What is the probability that both are boys?"", ""explanation"": ""The answer is 1/3, not 1/2. The possible combinations are BB, BG, GB (we excluded GG). Only 1 of 3 equally likely outcomes is BB."", ""wrong_intuition"": ""1/2 — the other child is either a boy or girl""}","1/3. There are three equally likely cases (BB, BG, GB) and only one is two boys.",25,2026-02-16 11:32:17.524446+00,iq
05f8cc38-aa5c-4231-95df-570a09287513,The Two Envelope Problem,Should you always switch?,logic_trap,logic,5,"{""follow_up"": ""This is a famous unsolved problem in probability theory."", ""statement"": ""You're given two envelopes. One contains twice the money of the other. You pick one and see $100. Should you switch? Switching gets you either $50 or $200, with an expected value of $125..."", ""explanation"": ""The paradox is that the same logic would apply no matter which envelope you opened, creating an infinite switching loop. The error is in the probability calculation—you can't assume 50/50 for each scenario independently."", ""wrong_intuition"": ""You should always switch for a higher expected value""}",The expected value argument is flawed. The probability setup is incorrect—switching offers no advantage.,25,2026-02-16 11:32:17.524446+00,iq
5851e86b-3840-4d07-96cd-3f16d2b01341,Müller-Lyer Illusion,Are the lines the same length?,visual_illusion,spatial,1,"{""type"": ""comparison"", ""svg_config"": {""type"": ""muller_lyer""}, ""description"": ""Two horizontal lines of equal length. One has outward-pointing arrows (><) and the other has inward-pointing arrows (<>). Which appears longer?"", ""illusion_explanation"": ""The line with outward arrows appears longer, but both are identical. Your brain uses the arrow angles as depth cues, interpreting the outward arrows as a corner receding and the inward arrows as a corner protruding.""}",Both lines are exactly the same length. The arrow direction creates a false depth perception.,10,2026-02-16 11:32:17.524446+00,iq
87c60d56-2270-4bd2-bee7-1b145da2e6c1,The Checker Shadow,Same shade or different?,visual_illusion,spatial,2,"{""type"": ""comparison"", ""svg_config"": {""type"": ""checker_shadow""}, ""description"": ""A checkerboard with a cylinder casting a shadow. Square A (in light) and Square B (in shadow) appear to be different shades, but are they?"", ""illusion_explanation"": ""Both squares are the identical shade of gray. Your visual system automatically compensates for shadows, making the shadowed square appear lighter than it actually is relative to its surroundings.""}",Squares A and B are the exact same shade of gray. Your brain's shadow compensation makes B appear lighter.,15,2026-02-16 11:32:17.524446+00,iq
cbb6e9e4-338c-48ec-9f27-ab986f9d68cf,Kanizsa Triangle,Do you see the triangle?,visual_illusion,pattern,2,"{""type"": ""perception"", ""svg_config"": {""type"": ""kanizsa""}, ""description"": ""Three Pac-Man-like shapes arranged in a triangle formation. Most people see a bright white triangle overlapping the shapes, but does it actually exist?"", ""illusion_explanation"": ""There is no triangle drawn—your brain fills in the contours. This is called 'illusory contours.' Your visual cortex infers edges where none exist based on the arrangement of the pac-man shapes.""}",The triangle doesn't exist. Your brain creates illusory contours from the arrangement of shapes.,15,2026-02-16 11:32:17.524446+00,iq
0729d204-feac-4ad0-accf-880d06b77504,Spinning Dancer,Which direction is she spinning?,visual_illusion,spatial,3,"{""type"": ""ambiguous"", ""svg_config"": {""type"": ""spinning_dancer""}, ""description"": ""A silhouette of a dancer spinning. Some people see her spinning clockwise, others counterclockwise. Can you switch the direction?"", ""illusion_explanation"": ""The image is ambiguous—it's a 2D silhouette that can be interpreted as rotating either direction. Your brain 'chooses' one interpretation, but with practice, you can switch. This is called a bistable percept.""}",Both directions are valid. The 2D silhouette is genuinely ambiguous—your brain resolves the ambiguity by picking one rotation.,20,2026-02-16 11:32:17.524446+00,iq
23ad03e8-1172-42d6-a03c-ae5bcd20ad59,Ebbinghaus Illusion,Which center circle is larger?,visual_illusion,spatial,1,"{""type"": ""size"", ""svg_config"": {""type"": ""ebbinghaus""}, ""description"": ""Two orange circles of the same size. One is surrounded by large circles, the other by small circles. Which orange circle appears larger?"", ""illusion_explanation"": ""Both center circles are the same size. The one surrounded by smaller circles appears larger because your brain judges size relative to surrounding objects.""}",Both center circles are identical. Context (surrounding circle size) distorts your size perception.,10,2026-02-16 11:32:17.524446+00,iq
d5666610-facb-4ad0-8515-6c5a4d68b49f,Alternate Uses: Brick,List as many uses for a brick as you can that a firefighter would find useful.,lateral_thinking,verbal,1,"{""prompt"": ""List uses for a brick that a firefighter would find useful."", ""rubric"": {""axes"": [""fluency"", ""flexibility"", ""originality""], ""levels"": {""1"": ""Few ideas, all similar, all conventional."", ""2"": ""Several ideas across 2 categories, mostly common."", ""3"": ""Many ideas across ≥3 categories, ≥2 truly unusual.""}}, ""drill_kind"": ""alternate_uses"", ""target_count"": 12, ""time_seconds"": 180, ""weak_example"": ""Build a wall. Throw it. Break glass."", ""strong_example"": ""Prop open a smoke door; weigh down a tarp; smash a car window from outside; wedge a wheel; anchor a rope; scratch through drywall to mark hidden hot spots.""}",Self-score against rubric.,30,2026-07-26 00:40:21.288244+00,hidden_genius
16dad1db-0210-4c13-b0e7-91126da6fb53,Alternate Uses: Paperclip,Twelve uses for a paperclip that a spy would find useful.,lateral_thinking,verbal,2,"{""prompt"": ""Twelve uses for a paperclip that a spy would find useful."", ""rubric"": {""axes"": [""fluency"", ""flexibility"", ""originality""], ""levels"": {""1"": ""Few ideas, all similar, all conventional."", ""2"": ""Several ideas across 2 categories, mostly common."", ""3"": ""Many ideas across ≥3 categories, ≥2 truly unusual.""}}, ""drill_kind"": ""alternate_uses"", ""target_count"": 12, ""time_seconds"": 180, ""weak_example"": ""Hold papers. Bend it. Poke someone."", ""strong_example"": ""Lock pick; SIM tray eject; short a battery; scratch a mark on a wall; hairpin bookmark; conductor for a hidden circuit.""}",Self-score against rubric.,30,2026-07-26 00:40:21.288244+00,hidden_genius
36406c77-dcc0-4391-aba8-95116eace200,Alternate Uses: Empty Bottle,Uses for an empty plastic bottle on a desert island.,lateral_thinking,verbal,2,"{""prompt"": ""Uses for an empty plastic bottle on a desert island."", ""rubric"": {""axes"": [""fluency"", ""flexibility"", ""originality""], ""levels"": {""1"": ""Few ideas, all similar, all conventional."", ""2"": ""Several ideas across 2 categories, mostly common."", ""3"": ""Many ideas across ≥3 categories, ≥2 truly unusual.""}}, ""drill_kind"": ""alternate_uses"", ""target_count"": 12, ""time_seconds"": 180, ""weak_example"": ""Drink from it. Store water. Throw it."", ""strong_example"": ""Solar still (condense fresh water); signal mirror with foil label; buoy for a fishing line; makeshift funnel; sand scoop; ember carrier for fire.""}",Self-score against rubric.,30,2026-07-26 00:40:21.288244+00,hidden_genius
ea5d32e3-0142-4326-8f6f-d3532d19f28c,Alternate Uses: Rubber Band,Twelve uses for a rubber band an engineer would find clever.,lateral_thinking,verbal,3,"{""prompt"": ""Twelve uses for a rubber band an engineer would find clever."", ""rubric"": {""axes"": [""fluency"", ""flexibility"", ""originality""], ""levels"": {""1"": ""Few ideas, all similar, all conventional."", ""2"": ""Several ideas across 2 categories, mostly common."", ""3"": ""Many ideas across ≥3 categories, ≥2 truly unusual.""}}, ""drill_kind"": ""alternate_uses"", ""target_count"": 12, ""time_seconds"": 180, ""weak_example"": ""Hold papers. Shoot it. Wrap a bundle."", ""strong_example"": ""Torsion spring for a small mechanism; grip aid on a stripped screw; low-friction drive belt for a prototype; makeshift O-ring; strain gauge (measure stretch vs load).""}",Self-score against rubric.,30,2026-07-26 00:40:21.288244+00,hidden_genius
1aa46863-4459-46bf-96a5-55727786fa71,Remote Associates: Cheese,Find the word that connects all three.,word_puzzle,verbal,1,"{""words"": [""cottage"", ""swiss"", ""cake""], ""answer"": ""cheese"", ""drill_kind"": ""remote_associates"", ""time_seconds"": 45}",cheese,30,2026-07-26 00:40:21.288244+00,hidden_genius
12b6468a-e864-48b0-8c3d-cc078662192f,Remote Associates: Board,Find the word that connects all three.,word_puzzle,verbal,2,"{""words"": [""skate"", ""surf"", ""chess""], ""answer"": ""board"", ""drill_kind"": ""remote_associates"", ""time_seconds"": 45}",board,30,2026-07-26 00:40:21.288244+00,hidden_genius
068cedf4-c8bc-4ec8-9324-96b51a6757b9,Remote Associates: Line,Find the word that connects all three.,word_puzzle,verbal,3,"{""words"": [""punch"", ""dead"", ""time""], ""answer"": ""line"", ""drill_kind"": ""remote_associates"", ""time_seconds"": 45}",line,30,2026-07-26 00:40:21.288244+00,hidden_genius
b49db473-48ea-4bfe-b96c-9572ca985fad,Remote Associates: Fire,Find the word that connects all three.,word_puzzle,verbal,4,"{""words"": [""cracker"", ""fly"", ""fighter""], ""answer"": ""fire"", ""drill_kind"": ""remote_associates"", ""time_seconds"": 45}",fire,30,2026-07-26 00:40:21.288244+00,hidden_genius
536d0537-7768-47f4-bd70-9d39ef9749a5,Analogy: Compass to Map,Complete: compass is to map as ___ is to schedule.,word_puzzle,verbal,1,"{""stem"": ""compass : map :: ? : schedule"", ""rubric"": {""axes"": [""fluency"", ""flexibility"", ""originality""], ""levels"": {""1"": ""Few ideas, all similar, all conventional."", ""2"": ""Several ideas across 2 categories, mostly common."", ""3"": ""Many ideas across ≥3 categories, ≥2 truly unusual.""}}, ""drill_kind"": ""analogy_chain"", ""weak_example"": ""watch (surface-level object match, no relational reasoning)."", ""strong_example"": ""clock — both orient you to a coordinate (space vs time).""}",Self-score.,30,2026-07-26 00:40:21.288244+00,hidden_genius
13d3bfef-4637-47e8-984b-3fb3cc16301f,Analogy: Bee to Hive,Complete and justify: bee : hive :: ? : ___,word_puzzle,verbal,2,"{""stem"": ""bee : hive :: ? : ?"", ""rubric"": {""axes"": [""fluency"", ""flexibility"", ""originality""], ""levels"": {""1"": ""Few ideas, all similar, all conventional."", ""2"": ""Several ideas across 2 categories, mostly common."", ""3"": ""Many ideas across ≥3 categories, ≥2 truly unusual.""}}, ""drill_kind"": ""analogy_chain"", ""weak_example"": ""bird : nest (too general; misses the collective)."", ""strong_example"": ""ant : colony — both are individuals that only make sense inside a super-organism.""}",Self-score.,30,2026-07-26 00:40:21.288244+00,hidden_genius
c98255d3-fe77-417c-93ae-f1707c244715,Analogy: Root to Tree,root : tree :: ? : idea,word_puzzle,verbal,3,"{""stem"": ""root : tree :: ? : idea"", ""rubric"": {""axes"": [""fluency"", ""flexibility"", ""originality""], ""levels"": {""1"": ""Few ideas, all similar, all conventional."", ""2"": ""Several ideas across 2 categories, mostly common."", ""3"": ""Many ideas across ≥3 categories, ≥2 truly unusual.""}}, ""drill_kind"": ""analogy_chain"", ""weak_example"": ""thought (redundant; same category)."", ""strong_example"": ""assumption — the hidden support the visible thing grows from.""}",Self-score.,30,2026-07-26 00:40:21.288244+00,hidden_genius
0f638cc7-a82f-421a-b1cf-edfaaf63058c,Analogy: Firewall to Network,firewall : network :: ? : conversation,word_puzzle,verbal,4,"{""stem"": ""firewall : network :: ? : conversation"", ""rubric"": {""axes"": [""fluency"", ""flexibility"", ""originality""], ""levels"": {""1"": ""Few ideas, all similar, all conventional."", ""2"": ""Several ideas across 2 categories, mostly common."", ""3"": ""Many ideas across ≥3 categories, ≥2 truly unusual.""}}, ""drill_kind"": ""analogy_chain"", ""weak_example"": ""silence (blocks everything; misses the filtering function)."", ""strong_example"": ""tact — a controlled boundary that filters what crosses without blocking everything.""}",Self-score.,30,2026-07-26 00:40:21.288244+00,hidden_genius
162eb8a2-97f4-4199-968a-788ac44833fb,Digit Span — Backward,Repeat digits in reverse order.,riddle,memory,3,"{""direction"": ""backward"", ""drill_kind"": ""digit_span"", ""max_length"": 8, ""start_length"": 3}",Metric: max length correct.,20,2026-07-26 00:40:21.288244+00,brain_health
97d3021a-5fe1-4057-96ad-741dee536232,Digit Span — Interference,"Hear digits, count backward from 20, then recall.",riddle,memory,4,"{""direction"": ""forward"", ""drill_kind"": ""digit_span"", ""max_length"": 8, ""interference"": ""count_down_20"", ""start_length"": 4}",Metric: max length under interference.,20,2026-07-26 00:40:21.288244+00,brain_health
af586420-995f-40a9-a84d-435d56b2bb0a,Constraint Flip: The Library,Rewrite a public library if silence were forbidden.,lateral_thinking,verbal,2,"{""prompt"": ""Redesign a public library assuming silence is forbidden. What changes about layout, materials, staff, hours?"", ""rubric"": {""axes"": [""fluency"", ""flexibility"", ""originality""], ""levels"": {""1"": ""Few ideas, all similar, all conventional."", ""2"": ""Several ideas across 2 categories, mostly common."", ""3"": ""Many ideas across ≥3 categories, ≥2 truly unusual.""}}, ""drill_kind"": ""constraint_flip"", ""time_seconds"": 300, ""weak_example"": ""Just add more chairs and let people talk."", ""strong_example"": ""Sound-tuned rooms by decibel (whisper / conversation / performance); wearable directional speakers replace headphones; librarians are audio curators; acoustic materials become the biggest budget line.""}",Self-score.,30,2026-07-26 00:40:21.288244+00,hidden_genius
5b6a77a5-7ff5-4b84-a68d-ebaadba76fb5,Constraint Flip: The Restaurant,Redesign a restaurant if food had to be free.,lateral_thinking,verbal,3,"{""prompt"": ""Redesign a restaurant assuming the food is free. Where does revenue come from? What changes about service?"", ""rubric"": {""axes"": [""fluency"", ""flexibility"", ""originality""], ""levels"": {""1"": ""Few ideas, all similar, all conventional."", ""2"": ""Several ideas across 2 categories, mostly common."", ""3"": ""Many ideas across ≥3 categories, ≥2 truly unusual.""}}, ""drill_kind"": ""constraint_flip"", ""time_seconds"": 300, ""weak_example"": ""Charge more for drinks."", ""strong_example"": ""Revenue shifts to ambience/time (rented seat-minutes), classes, media rights on the chef, sponsorships by farms; portion control replaces menus.""}",Self-score.,30,2026-07-26 00:40:21.288244+00,hidden_genius
d695a951-da47-496a-8eea-cfcb70bd864f,Constraint Flip: The School,Redesign a school with no fixed classrooms.,lateral_thinking,verbal,3,"{""prompt"": ""Redesign a school assuming no fixed classrooms exist. How is learning grouped, sequenced, assessed?"", ""rubric"": {""axes"": [""fluency"", ""flexibility"", ""originality""], ""levels"": {""1"": ""Few ideas, all similar, all conventional."", ""2"": ""Several ideas across 2 categories, mostly common."", ""3"": ""Many ideas across ≥3 categories, ≥2 truly unusual.""}}, ""drill_kind"": ""constraint_flip"", ""time_seconds"": 300, ""weak_example"": ""Kids just wander around."", ""strong_example"": ""Cohorts formed weekly by learning goal, not age; city becomes the classroom (museums, workshops); assessment via public demos not tests.""}",Self-score.,30,2026-07-26 00:40:21.288244+00,hidden_genius
f977918f-f80b-4be5-8e1d-be6e4efa8fc2,Constraint Flip: The Phone,Redesign a smartphone if it must last 30 days on one charge.,lateral_thinking,verbal,4,"{""prompt"": ""Redesign a smartphone assuming it must last 30 days on a single charge. What features go? Which stay?"", ""rubric"": {""axes"": [""fluency"", ""flexibility"", ""originality""], ""levels"": {""1"": ""Few ideas, all similar, all conventional."", ""2"": ""Several ideas across 2 categories, mostly common."", ""3"": ""Many ideas across ≥3 categories, ≥2 truly unusual.""}}, ""drill_kind"": ""constraint_flip"", ""time_seconds"": 300, ""weak_example"": ""Bigger battery."", ""strong_example"": ""E-ink primary display; hardware toggle for radios; on-device only AI for common tasks; solar back; camera is a snap-on accessory.""}",Self-score.,30,2026-07-26 00:40:21.288244+00,hidden_genius
9c0baddb-96d1-4af6-9403-8d8670c35905,What If: Sleep Halves,What if humans only needed 4 hours of sleep — what changes in 5 years?,lateral_thinking,verbal,2,"{""prompt"": ""What if humans only needed 4 hours of sleep? Give 5 second-order effects within 5 years."", ""rubric"": {""axes"": [""fluency"", ""flexibility"", ""originality""], ""levels"": {""1"": ""Few ideas, all similar, all conventional."", ""2"": ""Several ideas across 2 categories, mostly common."", ""3"": ""Many ideas across ≥3 categories, ≥2 truly unusual.""}}, ""drill_kind"": ""what_if"", ""time_seconds"": 240, ""weak_example"": ""People would work more."", ""strong_example"": ""Real-estate around 24h services booms; night-schools normalize; caffeine market collapses; new mental-health disorders around 'productivity guilt'; shift-work premiums vanish.""}",Self-score.,30,2026-07-26 00:40:21.288244+00,hidden_genius
1f393c70-5baf-460f-8ec8-3b5f1c86a723,What If: Gravity Weaker,What if gravity dropped 20% overnight — 5 downstream effects?,lateral_thinking,verbal,3,"{""prompt"": ""What if gravity dropped 20% overnight? Give 5 downstream effects in 30 days."", ""rubric"": {""axes"": [""fluency"", ""flexibility"", ""originality""], ""levels"": {""1"": ""Few ideas, all similar, all conventional."", ""2"": ""Several ideas across 2 categories, mostly common."", ""3"": ""Many ideas across ≥3 categories, ≥2 truly unusual.""}}, ""drill_kind"": ""what_if"", ""time_seconds"": 240, ""weak_example"": ""People jump higher."", ""strong_example"": ""Elevators re-tuned; sports records reset; construction load ratings re-issued; aircraft over-lift causes crashes on landing; agricultural irrigation patterns break.""}",Self-score.,30,2026-07-26 00:40:21.288244+00,hidden_genius
