id,name,description,icon,xp_reward,condition_json,created_at,branch
8723b195-9831-4527-b8e8-ca8d808deab0,First Constraint Flip,Complete your first constraint flip.,sparkles,25,"{""kind"": ""first_drill"", ""format"": ""constraint_flip""}",2026-07-26 00:40:21.288244+00,hidden_genius
3a15fb90-6386-4e58-b0ce-be134c5a4946,First What If,Complete your first what-if drill.,sparkles,25,"{""kind"": ""first_drill"", ""format"": ""what_if""}",2026-07-26 00:40:21.288244+00,hidden_genius
4f66a9fc-914b-4ae2-919c-d4559c31a8db,Ten Drills In,Complete ten Genius drills.,trophy,100,"{""kind"": ""drill_count"", ""count"": 10, ""branch"": ""hidden_genius""}",2026-07-26 00:40:21.288244+00,hidden_genius
908d4641-d45c-4064-9971-0426d50d8f86,Archetype Week,Finish a full week of the Archetype Lab.,trophy,150,"{""kind"": ""archetype_week"", ""count"": 1}",2026-07-26 00:40:21.288244+00,hidden_genius
1ac3dfbb-6a95-4da7-8917-bc830de77a44,First Pattern Puzzle,Solve your first pattern puzzle in the Genius library.,star,30,"{""kind"": ""first_pattern""}",2026-07-26 00:40:21.288244+00,hidden_genius
af1052ca-0a7b-4cb6-9595-a9209f142b0a,30-Day Genius Streak,Show up 30 days in a row.,trophy,250,"{""days"": 30, ""kind"": ""streak"", ""branch"": ""hidden_genius""}",2026-07-26 00:40:21.288244+00,hidden_genius
8e5e37a5-3be0-4413-a017-0e6a94441d9a,Polymath,Complete drills across all five formats.,trophy,300,"{""kind"": ""all_formats""}",2026-07-26 00:40:21.288244+00,hidden_genius
87b8606f-796f-48d9-8062-166caf4770c4,Seven Days In,Check in seven days in a row.,sparkles,50,"{""days"": 7, ""kind"": ""daily_check_streak""}",2026-07-26 00:40:21.288244+00,brain_health
b1f5c671-a043-4972-a805-88454200b34b,Thirty Days In,Check in thirty days in a row.,trophy,200,"{""days"": 30, ""kind"": ""daily_check_streak""}",2026-07-26 00:40:21.288244+00,brain_health
2371f5e4-5066-4cd7-a8ef-bf694864a621,First Reaction Drill,Complete your first reaction time drill.,sparkles,20,"{""kind"": ""first_drill"", ""drill_kind"": ""reaction_time""}",2026-07-26 00:40:21.288244+00,brain_health
cbeb3ff8-5f2f-4a71-b046-cb1dad82edbe,First Digit Span,Complete your first digit span drill.,sparkles,20,"{""kind"": ""first_drill"", ""drill_kind"": ""digit_span""}",2026-07-26 00:40:21.288244+00,brain_health
56b3fc74-8954-4d85-bc83-8d3a68b48160,First Focus Sprint,Complete your first Stroop drill.,sparkles,20,"{""kind"": ""first_drill"", ""drill_kind"": ""stroop""}",2026-07-26 00:40:21.288244+00,brain_health
47306306-9956-4d30-b2fa-3928668ec617,First Dual Task,Complete your first dual task drill.,sparkles,20,"{""kind"": ""first_drill"", ""drill_kind"": ""dual_task""}",2026-07-26 00:40:21.288244+00,brain_health
5d111605-9596-43c2-a519-88b2e9366e02,First PVT,Complete your first sustained attention drill.,sparkles,20,"{""kind"": ""first_drill"", ""drill_kind"": ""pvt""}",2026-07-26 00:40:21.288244+00,brain_health
55f117b0-dbe5-450d-85a0-fc6b2a3de313,Sleep Goal Week,Hit your sleep goal 5 nights out of 7.,star,100,"{""hits"": 5, ""kind"": ""sleep_week""}",2026-07-26 00:40:21.288244+00,brain_health
a01d902a-888f-42b3-b7bd-0ce6b9b200c8,Stress Drop,Log mood 4+ for 5 days in a week.,star,100,"{""hits"": 5, ""kind"": ""mood_week"", ""threshold"": 4}",2026-07-26 00:40:21.288244+00,brain_health
cef1a340-b13e-48fc-97cc-c9f52481d4be,Movement Milestone,Log 150 movement minutes in a week.,trophy,120,"{""kind"": ""movement_week"", ""minutes"": 150}",2026-07-26 00:40:21.288244+00,brain_health
