id,flow_id,question_id,type,prompt,image,options,correct_answer,category,difficulty,has_reinforcement,order_index,created_at,subskill,subtitle,sequence,display_ms,target_position,sequence_variant,target_delay_ms,time_limit_ms
576dffcd-a2c5-4869-ab20-07dd538c10ec,e0000000-0000-0000-0000-000000000001,1022,multipleChoice,"Which number comes next? 2, 6, 12, 20, 30, ?",,"[""36"", ""40"", ""42"", ""44"", ""48""]",2,pattern,2,f,8,2026-06-26 16:19:42.122484+00,numeric sequence,,,,,,,
a4c8e6d6-89f3-4533-888c-7ced5ab1945b,e0000000-0000-0000-0000-000000000001,1016,oddOneOut,Which one doesn't belong?,,"[""●"", ""●"", ""■"", ""●"", ""●"", ""●""]",2,pattern,1,f,9,2026-06-26 16:19:42.122484+00,visual attention,,,,,,,3000
1df636a4-c4b2-481d-969a-3fa257fcc1cf,e0000000-0000-0000-0000-000000000001,1024,multipleChoice,Pen is to writing as knife is to:,,"[""Kitchen"", ""Spoon"", ""Cutting"", ""Plate"", ""Food""]",2,logic,1,f,10,2026-06-26 16:19:42.122484+00,verbal analogy,,,,,,,
9d16b280-631d-4310-a0fa-739f211fccd2,a0000000-0000-0000-0000-000000000001,206,visualPuzzle,Which pattern completes the grid?,static_q14,[],3,logic,2,t,13,2026-03-04 15:15:48.186775+00,,,,,,,,
b50fda23-a6ec-4a61-8053-6f064d83eaa4,a0000000-0000-0000-0000-000000000001,207,visualPuzzle,Which pattern completes the grid?,static_q15,[],2,spatial,2,f,14,2026-03-04 15:15:48.186775+00,,,,,,,,
d5ce1559-3197-432a-9e50-e61e6206e5d0,a0000000-0000-0000-0000-000000000001,209,visualPuzzle,"What comes next? 1, 3, 5, 7, ___",static_q17,"[""9"", ""8"", ""10"", ""11""]",0,pattern,2,f,16,2026-03-04 15:15:48.186775+00,,,,,,,,
b64a4093-1350-4193-8f0b-809c6016c63e,a0000000-0000-0000-0000-000000000001,210,visualPuzzle,A clock shows 3:00. What angle do the hands make?,static_q18,"[""90 degrees"", ""180 degrees"", ""45 degrees"", ""120 degrees""]",2,spatial,2,f,17,2026-03-04 15:15:48.186775+00,,,,,,,,
480aaea9-966a-411f-95c2-803a170a632b,a0000000-0000-0000-0000-000000000001,211,visualPuzzle,"If today is Monday, what day is it in 2 days?",static_q19,"[""Wednesday"", ""Tuesday"", ""Thursday"", ""Sunday""]",2,speed,3,f,18,2026-03-04 15:15:48.186775+00,,,,,,,,
a138749b-bb50-46e2-b784-b6332d0875fe,a0000000-0000-0000-0000-000000000001,212,visualPuzzle,"Which number is the largest? 0.5, 0.25, 0.75, 0.1",static_q20,"[""0.5"", ""0.25"", ""0.75"", ""0.1""]",3,speed,3,f,19,2026-03-04 15:15:48.186775+00,,,,,,,,
e6fad3fb-acc6-4b64-9021-10c506f80cd1,a0000000-0000-0000-0000-000000000001,301,visualPuzzle,Telescope is to Stars as Microscope is to ___,static_q21,"[""Cells"", ""Laboratory"", ""Science"", ""Light""]",5,logic,3,f,20,2026-03-04 15:16:07.896738+00,,,,,,,,
15d75a0d-2a41-4402-8a2e-663d96938e81,a0000000-0000-0000-0000-000000000001,302,visualPuzzle,"What comes next? 3, 6, 12, 24, ___",static_q22,"[""36"", ""48"", ""30"", ""42""]",0,pattern,3,f,21,2026-03-04 15:16:07.896738+00,,,,,,,,
6733b6e1-f3d8-4d78-8f8c-4a3283c78d40,a0000000-0000-0000-0000-000000000001,303,visualPuzzle,Architect is to Building as Composer is to ___,static_q23,"[""Symphony"", ""Piano"", ""Stage"", ""Musician""]",3,logic,3,f,22,2026-03-04 15:16:07.896738+00,,,,,,,,
4ade4cad-f420-425c-8e5c-e9f121f0ae5e,a0000000-0000-0000-0000-000000000001,304,visualPuzzle,"What comes next? 1, 4, 9, 16, ___",static_q24,"[""20"", ""24"", ""25"", ""30""]",2,pattern,3,t,23,2026-03-04 15:16:07.896738+00,,,,,,,,
26066931-e51b-48f8-9215-da332475413f,a0000000-0000-0000-0000-000000000001,307,visualPuzzle,Which image completes the pattern?,static_q27,"[""A"", ""B"", ""C"", ""D"", ""E"", ""F""]",5,spatial,3,f,26,2026-03-04 15:16:07.896738+00,,,,,,,,
c3dd5a89-5741-4727-a3af-31b945309a75,a0000000-0000-0000-0000-000000000001,308,multipleChoice,"If it takes 5 machines 5 minutes to make 5 widgets, how long would it take 100 machines to make 100 widgets?",,"[""100 minutes"", ""5 minutes"", ""20 minutes"", ""50 minutes""]",1,logic,2,f,27,2026-03-04 15:16:07.896738+00,,,,,,,,
dc257ed5-eeed-468c-94d1-e202bcc9d66a,a0000000-0000-0000-0000-000000000001,311,sequence,"What comes next? 1, 1, 2, 3, 5, ___",,"[""6"", ""7"", ""8"", ""9""]",2,pattern,2,f,30,2026-03-04 15:16:07.896738+00,,,,,,,,
25d98438-ab32-4ab9-be72-c2ae51ecd9c9,e0000000-0000-0000-0000-000000000001,1011,memorySequence,Memorize this sequence,,"[""red"", ""blue"", ""green"", ""yellow"", ""purple"", ""orange""]",2,logic,2,f,11,2026-06-26 16:19:42.122484+00,working memory,You'll be asked about a specific position.,"[""red"", ""blue"", ""green"", ""yellow"", ""purple""]",3500,3,color,,
8498e5f5-ef2a-44fb-a2f9-5c09c8050770,e0000000-0000-0000-0000-000000000001,1017,visualPuzzle,Choose your answer:,static_q21,"[""A"", ""B"", ""C"", ""D"", ""E"", ""F""]",3,logic,2,t,12,2026-06-26 16:19:42.122484+00,shape transformation,,,,,,,
be4feb4e-4683-436e-99e8-9c79465888d2,e0000000-0000-0000-0000-000000000001,1009,multipleChoice,"If today is Wednesday, what day will it be 100 days from now?",,"[""Friday"", ""Saturday"", ""Sunday"", ""Monday"", ""Tuesday""]",0,logic,2,f,13,2026-06-26 16:19:42.122484+00,mental arithmetic,,,,,,,
13e62860-18f7-4db4-86a1-edb31e61ba02,e0000000-0000-0000-0000-000000000001,1004,likert,I often try to find patterns in things around me.,,"[""Strongly disagree"", ""Disagree"", ""Neutral"", ""Agree"", ""Strongly agree""]",,self,1,f,14,2026-06-26 16:19:42.122484+00,self-perception,,,,,,,
29980f80-93bb-4959-9387-8431118db786,e0000000-0000-0000-0000-000000000001,1015,memorySequence,Memorize this sequence,,"[""3"", ""K"", ""@"", ""M"", ""1"", ""T""]",4,logic,3,f,15,2026-06-26 16:19:42.122484+00,working memory,You'll be asked about a specific position.,"[""3"", ""K"", ""@"", ""M"", ""1"", ""T""]",4000,5,mixed,,
9d8f7b53-9b3f-47b6-b234-353fc9673644,e0000000-0000-0000-0000-000000000001,1020,oddOneOut,Which one doesn't belong?,,"[""◆"", ""◆"", ""◆"", ""◆"", ""◇"", ""◆""]",4,pattern,2,f,16,2026-06-26 16:19:42.122484+00,visual attention,,,,,,,3000
76b15e11-5e9e-4f39-9cd0-d475758a5375,e0000000-0000-0000-0000-000000000001,1025,multipleChoice,"If
secure = 825172

Then
rescue = ?",,"[""728512"", ""782512"", ""725812"", ""728152"", ""872512"", ""728521""]",0,pattern,2,f,17,2026-06-26 16:19:42.122484+00,letter-to-number mapping,Which sequence is correct?,,,,,,
6a447185-970f-41e2-97cd-8cd5f12c35d8,e0000000-0000-0000-0000-000000000001,1021,visualPuzzle,Choose your answer:,static_q23,"[""A"", ""B"", ""C"", ""D"", ""E"", ""F""]",0,pattern,1,t,18,2026-06-26 16:19:42.122484+00,nested rule extraction,,,,,,,
488056ad-d30e-4002-aaad-187cb895d74b,e0000000-0000-0000-0000-000000000001,1019,memorySequence,Memorize this sequence,,"[""5"", ""B"", ""2"", ""#"", ""9"", ""1""]",5,logic,3,f,19,2026-06-26 16:19:42.122484+00,working memory,You'll be asked about a specific position.,"[""5"", ""B"", ""2"", ""#"", ""9"", ""1"", ""R""]",4500,6,mixed,,
06db363f-f694-4dbf-85e9-025384baec93,a0000000-0000-0000-0000-000000000001,208,visualPuzzle,Book is to Reading as Fork is to ___,static_q16,"[""Eating"", ""Cooking"", ""Kitchen"", ""Spoon""]",4,logic,2,f,15,2026-03-04 15:15:48.186775+00,,,,,,,,
69f58a66-a87d-412d-86aa-1be80d9a1c38,e0000000-0000-0000-0000-000000000001,1018,multipleChoice,A bat and ball cost $1.10 total. The bat costs $1 more than the ball. How much does the ball cost?,,"[""$0.05"", ""$0.10"", ""$0.15"", ""$0.20"", ""$1.00""]",0,logic,3,f,20,2026-06-26 16:19:42.122484+00,analytical reasoning,,,,,,,
ae7b864a-7cf7-4d0e-93c2-0f85769d9c98,a0000000-0000-0000-0000-000000000001,306,visualPuzzle,Which image completes the pattern?,static_q26,"[""A"", ""B"", ""C"", ""D"", ""E"", ""F""]",3,pattern,2,f,25,2026-03-04 15:16:07.896738+00,,,,,,,,
eabeeb3b-c651-453d-bf29-63a6a3b4d193,a0000000-0000-0000-0000-000000000001,405,multipleChoice,Three switches outside a room control three bulbs inside. You can enter the room only once. How can you determine which switch controls which bulb?,,"[""Turn on all three and check"", ""Turn on one, wait, turn on second, enter"", ""It's impossible"", ""Use a mirror""]",1,logic,3,f,41,2026-03-04 15:16:26.921812+00,,,,,,,,
63b186f7-757b-4ee8-9512-7f298c53fc87,a0000000-0000-0000-0000-000000000001,406,analogy,Entropy is to Disorder as Inertia is to ___,,"[""Resistance to change"", ""Acceleration"", ""Gravity"", ""Energy""]",0,logic,3,f,42,2026-03-04 15:16:26.921812+00,,,,,,,,
77ec1b5c-bdd1-4f9e-9d05-47a02001d095,a0000000-0000-0000-0000-000000000001,407,sequence,"What comes next? 2, 3, 5, 7, 11, 13, ___",,"[""15"", ""17"", ""16"", ""19""]",1,pattern,3,f,43,2026-03-04 15:16:26.921812+00,,,,,,,,
52f37b82-2652-4ea9-b35f-3269064a89ef,a0000000-0000-0000-0000-000000000001,408,spatial,"If you rotate a 3D L-shaped piece 90° clockwise around the vertical axis, then flip it horizontally, which orientation results?",,"[""Mirrored original"", ""Same as original"", ""Upside-down L"", ""Backwards rotated L""]",0,spatial,3,f,44,2026-03-04 15:16:26.921812+00,,,,,,,,
a05029a8-9e3a-4a9d-8210-0deccafad0b0,a0000000-0000-0000-0000-000000000001,409,multipleChoice,"You have 12 coins, one is counterfeit (different weight). Using a balance scale only 3 times, can you always find the counterfeit coin?",,"[""Yes, and determine if heavier or lighter"", ""Yes, but not if heavier or lighter"", ""No, you need 4 weighings"", ""Only if you know it's heavier""]",0,logic,3,f,45,2026-03-04 15:16:26.921812+00,,,,,,,,
45255a68-b0a7-40be-915d-66f4c3d1363e,a0000000-0000-0000-0000-000000000001,410,spatial,"A cube is painted red on all faces, then cut into 27 equal smaller cubes. How many small cubes have exactly one red face?",,"[""6"", ""8"", ""12"", ""1""]",0,spatial,3,f,46,2026-03-04 15:16:26.921812+00,,,,,,,,
1bafe508-ca4f-44b1-87d2-ff8dd216b124,a0000000-0000-0000-0000-000000000001,411,multipleChoice,"If the day after tomorrow is two days before Thursday, what day is it today?",,"[""Sunday"", ""Monday"", ""Saturday"", ""Tuesday""]",1,speed,3,f,47,2026-03-04 15:16:26.921812+00,,,,,,,,
e07420f2-cf8a-4f37-ad48-1d9100bc83a4,a0000000-0000-0000-0000-000000000001,412,sequence,"What comes next? 1, 2, 6, 24, 120, ___",,"[""240"", ""720"", ""600"", ""480""]",1,pattern,3,f,48,2026-03-04 15:16:26.921812+00,,,,,,,,
03243c8d-372d-43bd-9bae-c43329da7eb3,a0000000-0000-0000-0000-000000000001,403,multipleChoice,A snail climbs 3 feet up a wall each day but slips back 2 feet each night. How many days to reach the top of a 10-foot wall?,,"[""10 days"", ""8 days"", ""7 days"", ""9 days""]",1,logic,3,f,39,2026-03-04 15:16:26.921812+00,,,,,,,,
3fa34278-1547-48a1-b710-465eeca4b360,a0000000-0000-0000-0000-000000000001,309,analogy,Painter is to Canvas as Writer is to ___,,"[""Page"", ""Pen"", ""Library"", ""Story""]",0,logic,2,t,28,2026-03-04 15:16:07.896738+00,,,,,,,,
615e1aab-d0d3-4c30-95be-20c2c0a3d7cb,a0000000-0000-0000-0000-000000000001,312,multipleChoice,A farmer has 17 sheep. All but 9 run away. How many are left?,,"[""8"", ""9"", ""7"", ""17"", ""0""]",1,logic,2,f,31,2026-03-04 15:16:07.896738+00,,,,,,,,
1aea28d2-a426-4c02-86e8-b06069847b59,a0000000-0000-0000-0000-000000000001,404,sequence,"What comes next? 0, 1, 1, 2, 4, 7, 13, ___",,"[""20"", ""24"", ""21"", ""26""]",1,pattern,3,f,40,2026-03-04 15:16:26.921812+00,,,,,,,,
9d70133e-68b1-4032-9d0a-f9368683b528,b0000000-0000-0000-0000-000000000001,1,likert,I like challenges that reveal how I think.,,"[""Strongly Disagree"", ""Disagree"", ""Neutral"", ""Agree"", ""Strongly Agree""]",,self,1,f,1,2026-03-17 01:46:19.595887+00,self-efficacy,,,,,,,
e9f54afc-4956-48e6-b40c-9f93683afe59,b0000000-0000-0000-0000-000000000001,2,likert,I often find patterns in things around me.,,"[""Strongly disagree"", ""Disagree"", ""Neutral"", ""Agree"", ""Strongly agree""]",,pattern,1,f,2,2026-03-17 01:46:19.595887+00,deductive reasoning,,,,,,,
fe862c5b-ee28-4b72-896f-0548386d2d01,b0000000-0000-0000-0000-000000000001,3,multipleChoice,A farmer has 17 sheep. All but 9 run away. How many are left?,,"[""8"", ""9"", ""7"", ""17"", ""0""]",1,speed,1,f,3,2026-03-17 01:46:19.595887+00,quick recall,,,,,,,
c9a1e9cd-abaf-49fc-874d-4ad20e2972c0,b0000000-0000-0000-0000-000000000001,4,multipleChoice,How many sides does a hexagon have?,,"[""5"", ""6"", ""4"", ""7"", ""8""]",1,logic,1,f,4,2026-03-17 01:46:19.595887+00,metacognition,,,,,,,
d3d8a487-c034-482a-ab2b-e7db53f4731a,b0000000-0000-0000-0000-000000000001,5,likert,I enjoy solving problems and puzzles,,"[""Strongly Disagree"", ""Disagree"", ""Neutral"", ""Agree"", ""Strongly Agree""]",,logic,1,f,5,2026-03-17 01:46:19.595887+00,numeric sequence,,,,,,,
d1604fe5-90a3-4df8-ba8e-591302edb643,b0000000-0000-0000-0000-000000000001,6,sequence,"2, 4, 6, 8, ___

What number completes the pattern?",,"[""8"", ""9"", ""10"", ""11"", ""12""]",2,logic,2,f,6,2026-03-17 01:46:19.595887+00,arithmetic reasoning,,,,,,,
129dd7d9-d4ee-4302-b291-473ac1819306,b0000000-0000-0000-0000-000000000001,7,sequence,"1, 3, 6, 10, ___

What number completes the pattern?",,"[""11"", ""12"", ""13"", ""14"", ""15""]",4,pattern,2,f,7,2026-03-17 01:46:19.595887+00,verbal analogy,,,,,,,
709d62e8-6682-42fd-aaff-c8158f6421fa,b0000000-0000-0000-0000-000000000001,8,analogy,"7, 14, 21, ___, 35

What number is missing?",,"[""24"", ""26"", ""28"", ""30"", ""32""]",2,pattern,2,f,8,2026-03-17 01:46:19.595887+00,verbal analogy,,,,,,,
5c5b6908-875d-4bbf-87f1-f1838270b157,b0000000-0000-0000-0000-000000000001,9,multiple_choice,Bird is to nest as bee is to:,,"[""Honey"", ""Flower"", ""Hive"", ""Wing"", ""Insect""]",2,self,1,f,9,2026-03-17 01:46:19.595887+00,attention,,,,,,,
5be626e3-5895-4336-ab82-4ca2bf4447da,b0000000-0000-0000-0000-000000000001,10,multiple_choice,Pen is to writing as knife is to:,,"[""Kitchen"", ""Spoon"", ""Cutting"", ""Plate"", ""Food""]",2,self,1,f,10,2026-03-17 01:46:19.595887+00,spatial self-assessment,,,,,,,
c31f69c8-6fbb-417a-834f-09ac199f579a,b0000000-0000-0000-0000-000000000001,11,likert,I often notice patterns that others miss.,,"[""Strongly Disagree"", ""Disagree"", ""Neutral"", ""Agree"", ""Strongly Agree""]",,spatial,1,f,11,2026-03-17 01:46:19.595887+00,grid completion,,,,,,,
ff6e7578-c78a-45a9-a643-532326f7cc20,b0000000-0000-0000-0000-000000000001,12,likert,I can quickly understand complex diagrams or charts.,,"[""Strongly Disagree"", ""Disagree"", ""Neutral"", ""Agree"", ""Strongly Agree""]",,spatial,1,f,12,2026-03-17 01:46:19.595887+00,directional pattern,,,,,,,
7972bf28-4735-4547-aa2d-1db7f41f5c19,a0000000-0000-0000-0000-000000000001,305,visualPuzzle,Which image completes the pattern?,static_q25,"[""A"", ""B"", ""C"", ""D"", ""E"", ""F""]",0,pattern,3,f,24,2026-03-04 15:16:07.896738+00,,,,,,,,
b8983bf8-ce7d-4ece-afbc-d1dd81ff1aa4,a0000000-0000-0000-0000-000000000001,310,spatial,"A mirror reflects an image. If you raise your left hand, which hand appears to rise in the mirror?",,"[""Left hand"", ""Right hand"", ""Both hands"", ""Neither hand""]",1,spatial,2,f,29,2026-03-04 15:16:07.896738+00,,,,,,,,
c9d09646-80f1-43d1-ac96-aa2b99b9a537,a0000000-0000-0000-0000-000000000001,313,multipleChoice,"In a race, you overtake the person in 2nd place. What position are you in now?",,"[""1st"", ""2nd"", ""3rd"", ""It depends""]",1,speed,2,f,32,2026-03-04 15:16:07.896738+00,,,,,,,,
b9ed2bbb-3ccc-40f6-a59b-1230a6de4c97,a0000000-0000-0000-0000-000000000001,314,spatial,Which of these letters looks identical when mirrored left-to-right?,,"[""A"", ""R"", ""F"", ""G""]",0,spatial,2,f,33,2026-03-04 15:16:07.896738+00,,,,,,,,
b4049ae6-f151-482e-ba87-0ab91f1d0eb8,a0000000-0000-0000-0000-000000000001,315,sequence,"What comes next? 4, 9, 16, 25, ___",,"[""30"", ""36"", ""42"", ""49""]",1,pattern,2,f,34,2026-03-04 15:16:07.896738+00,,,,,,,,
ffa38f41-450e-46ab-a599-2167e8713264,a0000000-0000-0000-0000-000000000001,316,multipleChoice,Which month of the year has 28 days?,,"[""February only"", ""All of them"", ""None of them"", ""February and March""]",1,speed,2,f,35,2026-03-04 15:16:07.896738+00,,,,,,,,
28a220fe-1c31-409e-8776-3f6af4a5c4d5,a0000000-0000-0000-0000-000000000001,317,multipleChoice,"If some doctors are teachers and some teachers are artists, which must be true?",,"[""Some doctors are artists"", ""No doctors are artists"", ""All teachers are doctors"", ""None of the above must be true""]",3,logic,2,f,36,2026-03-04 15:16:07.896738+00,,,,,,,,
e47f8eea-e1d6-4414-a7cb-0c6faffaa0da,a0000000-0000-0000-0000-000000000001,401,multipleChoice,"If no A are B, all B are C, and some C are D, which must be true?",,"[""Some A are D"", ""No A are B"", ""All D are A"", ""Some B are D""]",1,logic,3,f,37,2026-03-04 15:16:26.921812+00,,,,,,,,
bd664fc7-fa26-4cc4-a815-1d329f2a207d,a0000000-0000-0000-0000-000000000001,402,sequence,"What comes next? 1, 4, 10, 22, 46, ___",,"[""94"", ""88"", ""92"", ""90""]",0,pattern,3,f,38,2026-03-04 15:16:26.921812+00,,,,,,,,
349354d1-2f3a-49cc-bfa9-3f989b497f3f,b0000000-0000-0000-0000-000000000001,14,visualPuzzle,Choose your answer:,static_q14,"[""A"", ""B"", ""C"", ""D"", ""E"", ""F""]",4,spatial,2,t,13,2026-03-17 01:46:19.595887+00,tiling,,,,,,,
71deebbb-b8f2-4b60-bc67-d9e352a378cc,b0000000-0000-0000-0000-000000000001,16,visualPuzzle,Choose your answer:,static_q16,"[""A"", ""B"", ""C"", ""D"", ""E"", ""F""]",0,spatial,2,f,14,2026-03-17 01:46:19.595887+00,fragment matching,,,,,,,
ee223c92-a793-4e1f-b50d-e0cd08283f98,b0000000-0000-0000-0000-000000000001,17,visualPuzzle,Choose your answer:,static_q17,"[""A"", ""B"", ""C"", ""D"", ""E"", ""F""]",2,pattern,2,f,15,2026-03-17 01:46:19.595887+00,attribute matrix,,,,,,,
cc9e1aab-61dc-4e95-9a5c-efc4d12ed40a,b0000000-0000-0000-0000-000000000001,18,visualPuzzle,Choose your answer:,static_q18,"[""A"", ""B"", ""C"", ""D"", ""E"", ""F""]",2,pattern,3,f,16,2026-03-17 01:46:19.595887+00,attribute matrix,,,,,,,
405c1c12-4105-44e3-9f4b-78a165c69ddc,b0000000-0000-0000-0000-000000000001,19,visualPuzzle,Choose your answer:,static_q19,"[""A"", ""B"", ""C"", ""D"", ""E"", ""F""]",0,pattern,3,f,17,2026-03-17 01:46:19.595887+00,attribute matrix,,,,,,,
e1acdd77-28d4-4383-be03-1fa12c9c05cb,b0000000-0000-0000-0000-000000000001,20,visualPuzzle,Choose your answer:,static_q20,"[""A"", ""B"", ""C"", ""D"", ""E"", ""F""]",3,pattern,3,t,18,2026-03-17 01:46:19.595887+00,attribute matrix,,,,,,,
9abdf1c9-6f5c-4448-abd1-ae8f61ddd89e,b0000000-0000-0000-0000-000000000001,21,visualPuzzle,Choose your answer:,static_q21,"[""A"", ""B"", ""C"", ""D"", ""E"", ""F""]",0,logic,2,f,19,2026-03-17 01:46:19.595887+00,shape transformation,,,,,,,
3ee29c44-adcd-42bd-868c-03e2c2b61b5f,b0000000-0000-0000-0000-000000000001,22,visualPuzzle,Choose your answer:,static_q22,"[""A"", ""B"", ""C"", ""D"", ""E"", ""F""]",2,spatial,2,f,20,2026-03-17 01:46:19.595887+00,dimensional transform,,,,,,,
822020b9-e13a-4391-941a-2f1b77488516,b0000000-0000-0000-0000-000000000001,23,visualPuzzle,Choose your answer:,static_q23,"[""A"", ""B"", ""C"", ""D"", ""E"", ""F""]",1,pattern,1,f,21,2026-03-17 01:46:19.595887+00,nested rule extraction,,,,,,,
22c8fde5-6b1d-4222-b057-f05672861c1e,b0000000-0000-0000-0000-000000000001,24,visualPuzzle,Choose your answer:,static_q24,"[""A"", ""B"", ""C"", ""D"", ""E"", ""F""]",2,pattern,2,f,22,2026-03-17 01:46:19.595887+00,quantitative pattern,,,,,,,
891c7cd0-fcce-4ce2-94f5-295dbe0f653c,b0000000-0000-0000-0000-000000000001,25,visualPuzzle,Choose your answer:,static_q25,"[""A"", ""B"", ""C"", ""D"", ""E"", ""F""]",0,pattern,3,f,23,2026-03-17 01:46:19.595887+00,feature permutation,,,,,,,
